timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597426419058,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,352,0,1,1,null,0,0,0
1597426419066,2,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,2,0,0
1597426419069,1,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,1,0,0
1597426419070,2,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597426419078,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597426439079,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597426439079,2,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,2,0,1
1597426439082,1,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,1,0,0
1597426439083,2,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597426439086,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597426459088,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597426459089,2,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,2,0,0
1597426459091,2,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,2,0,0
1597426459093,1,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597426459096,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597426479098,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597426479101,2,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,2,0,0
1597426479103,1,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,1,0,0
1597426479105,1,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597426479107,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597426499109,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597426499114,3,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,2,0,1
1597426499117,1,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,1,0,0
1597426499119,1,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597426499122,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597426519123,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
