timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597167330408,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,352,0,1,1,null,0,0,0
1597167330428,9,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,9,0,1
1597167330452,5,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,5,0,0
1597167330474,4,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597167330503,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167350505,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167350505,5,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,5,0,1
1597167350510,4,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,4,0,0
1597167350515,1,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597167350518,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167370519,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167370520,8,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,7,0,2
1597167370528,6,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,6,0,0
1597167370534,3,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597167370539,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167390542,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167390543,13,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,13,0,1
1597167390556,7,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,7,0,0
1597167390564,3,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597167390569,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167410570,1,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167410571,11,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,11,0,2
1597167410583,8,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,8,0,0
1597167410591,5,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,5,0,0
1597167410599,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167430600,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167430600,5,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,5,0,1
1597167430605,4,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,4,0,0
1597167430609,2,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597167430613,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167450614,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167450614,10,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,10,0,2
1597167450624,7,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,7,0,0
1597167450632,2,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597167450636,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167470638,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167470639,5,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,5,0,0
1597167470644,5,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,5,0,0
1597167470649,3,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597167470654,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167490655,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167490656,7,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,7,0,1
1597167490663,6,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,6,0,0
1597167490669,3,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597167490673,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167510674,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167510674,9,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,9,0,1
1597167510684,6,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,6,0,0
1597167510690,3,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597167510695,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,423,0,1,1,null,0,0,0
1597167530698,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167530698,7,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,7,0,1
1597167530705,5,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,5,0,0
1597167530711,3,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597167530716,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167550718,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167550718,9,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,9,0,1
1597167550727,7,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,7,0,0
1597167550734,3,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597167550740,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167570741,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167570741,8,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,8,0,2
1597167570749,4,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,4,0,0
1597167570754,2,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597167570758,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167590759,1,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167590760,5,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,5,0,0
1597167590765,7,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,7,0,0
1597167590772,3,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597167590777,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167610779,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167610779,14,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,14,0,1
1597167610794,7,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,7,0,0
1597167610802,2,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597167610806,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167630808,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597167630809,10,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,10,0,2
1597167630819,6,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,6,0,0
1597167630825,2,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597167630829,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
