timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597166860373,2,Samper for timer,200,OK,sendComment 1-1,text,true,,265,0,1,1,null,0,0,0
1597166860501,28,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,25,0,14
1597166860532,7,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,7,0,0
1597166860551,10,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,10,0,0
1597166860563,4,service guestbook,200,,sendComment 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166860569,4,comment dropping,200,,sendComment 1-1,text,true,,274,582,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166860575,2,service\guestbook,200,,sendComment 1-1,text,true,,333,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166860578,1,Debug Sampler,200,OK,sendComment 1-1,text,true,,364,0,1,1,null,0,0,0
1597166860580,0,Samper for timer,200,OK,sendComment 1-1,text,true,,397,0,1,1,null,0,0,0
1597166860585,6,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,5,0,1
1597166860592,5,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,5,0,0
1597166860600,5,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,5,0,0
1597166860606,4,service guestbook,200,,sendComment 1-1,text,true,,333,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166860610,5,comment dropping,200,,sendComment 1-1,text,true,,274,733,1,1,http://localhost:8080/service/guestbook,5,0,0
1597166860616,3,service\guestbook,200,,sendComment 1-1,text,true,,449,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166860620,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,394,0,1,1,null,0,0,0
1597166861122,1,Samper for timer,200,OK,sendComment 1-1,text,true,,371,0,1,1,null,0,0,0
1597166861124,7,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,7,0,1
1597166861132,6,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,6,0,0
1597166861141,10,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,10,0,0
1597166861152,5,service guestbook,200,,sendComment 1-1,text,true,,449,319,1,1,http://localhost:8080/service/guestbook,5,0,0
1597166861159,4,comment dropping,200,,sendComment 1-1,text,true,,274,623,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166861164,3,service\guestbook,200,,sendComment 1-1,text,true,,524,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166861168,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,372,0,1,1,null,0,0,0
1597166861670,0,Samper for timer,200,OK,sendComment 1-1,text,true,,386,0,1,1,null,0,0,0
1597166861672,5,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,5,0,1
1597166861678,9,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,9,0,0
1597166861690,13,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,13,0,0
1597166861704,5,service guestbook,200,,sendComment 1-1,text,true,,524,319,1,1,http://localhost:8080/service/guestbook,5,0,0
1597166861710,5,comment dropping,200,,sendComment 1-1,text,true,,274,669,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166861715,3,service\guestbook,200,,sendComment 1-1,text,true,,615,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166861719,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,377,0,1,1,null,0,0,0
1597166862221,0,Samper for timer,200,OK,sendComment 1-1,text,true,,357,0,1,1,null,0,0,0
1597166862222,5,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,5,0,1
1597166862228,3,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,3,0,0
1597166862233,3,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,3,0,0
1597166862236,2,service guestbook,200,,sendComment 1-1,text,true,,615,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166862239,2,comment dropping,200,,sendComment 1-1,text,true,,274,521,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166862242,1,service\guestbook,200,,sendComment 1-1,text,true,,655,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597166862244,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,344,0,1,1,null,0,0,0
1597166862745,0,Samper for timer,200,OK,sendComment 1-1,text,true,,377,0,1,1,null,0,0,0
1597166862747,22,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,21,0,2
1597166862770,25,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,25,0,0
1597166862798,48,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,48,0,0
1597166862847,4,service guestbook,200,,sendComment 1-1,text,true,,655,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166862852,4,comment dropping,200,,sendComment 1-1,text,true,,274,733,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166862858,3,service\guestbook,200,,sendComment 1-1,text,true,,770,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166862862,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,394,0,1,1,null,0,0,0
1597166863364,0,Samper for timer,200,OK,sendComment 1-1,text,true,,371,0,1,1,null,0,0,0
1597166863365,7,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,6,0,2
1597166863373,8,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,8,0,0
1597166863383,12,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,12,0,0
1597166863397,3,service guestbook,200,,sendComment 1-1,text,true,,770,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166863400,5,comment dropping,200,,sendComment 1-1,text,true,,274,575,1,1,http://localhost:8080/service/guestbook,5,0,0
1597166863405,13,service\guestbook,200,,sendComment 1-1,text,true,,829,319,1,1,http://localhost:8080/service/guestbook,13,0,0
1597166863419,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,356,0,1,1,null,0,0,0
1597166863921,0,Samper for timer,200,OK,sendComment 1-1,text,true,,370,0,1,1,null,0,0,0
1597166863924,23,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,22,0,1
1597166863948,8,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,8,0,0
1597166863958,9,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,9,0,0
1597166863968,8,service guestbook,200,,sendComment 1-1,text,true,,829,319,1,1,http://localhost:8080/service/guestbook,8,0,0
1597166863977,3,comment dropping,200,,sendComment 1-1,text,true,,274,688,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166863982,2,service\guestbook,200,,sendComment 1-1,text,true,,927,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166863985,1,Debug Sampler,200,OK,sendComment 1-1,text,true,,385,0,1,1,null,0,0,0
1597166864489,1,Samper for timer,200,OK,sendComment 1-1,text,true,,365,0,1,1,null,0,0,0
1597166864491,9,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,9,0,0
1597166864502,12,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,12,0,0
1597166864520,11,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,11,0,0
1597166864531,3,service guestbook,200,,sendComment 1-1,text,true,,927,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166864535,2,comment dropping,200,,sendComment 1-1,text,true,,274,577,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166864538,3,service\guestbook,200,,sendComment 1-1,text,true,,986,319,1,1,http://localhost:8080/service/guestbook,3,0,0
